prise,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
8380026.0,2,64.3,9,10,1.0,"ул. Братьев Фонченко, стр. 6",,,,,,,,,,,,,,,,
4769694.0,4,121.1,6,17,1.0,"ул. Автозаводская, вл. 23/64",,,,,,,,,,,,,,,,
4318446.0,3,93.3,23,54,1.0,"ул. 2-я Хуторская, вл. 34",,,,,,,,,,,,,,,,
1298172.0,1,32.4,2,12,0.0,"ул. Ивана Франко, корп. 4.2",,,,,,,,,,,,,,,,
668850.0,1,29.5,5,9,1.0,"ул. Верхние Поля,  27с2",,,,,,,,,,,,,,,,
2260224.0,2,57.6,2,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
2409108.0,2,62.8,38,48,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
1070502.0,1,35.0,7,21,1.0,"пр-д Автомобильный, вл. 4",,,,,,,,,,,,,,,,
790000.0,1,26.0,3,7,0.0,"Нижегородская ул.,  32с3",,,,,,,,,,,,,,,,
5351607.0,2,73.7,12,85,1.0,"Краснопресненская набережная, вл. 14/15",,,,,,,,,,,,,,,,
2550000.0,3,73.2,15,15,1.0,"3-й Новомихалковский пр.,  8/1",,,,,,,,,,,,,,,,
2519999.0,3,74.5,15,48,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
2186735.0,2,56.9,17,30,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
1550000.0,1,19.7,5,11,0.0,"ул. Казакова, 7",,,,,,,,,,,,,,,,
5294323.0,2,80.4,2,37,1.0,"пр-т Ленинградский, вл. 8",,,,,,,,,,,,,,,,
1300000.0,2,54.0,17,17,1.0,"Лукинская ул.,  7",,,,,,,,,,,,,,,,
1307577.0,1,32.4,4,12,0.0,"ул. Ивана Франко, корп. 4.2",,,,,,,,,,,,,,,,
1717038.0,1,31.2,9,22,1.0,"ул. Полковая, вл. 1",,,,,,,,,,,,,,,,
2668460.0,2,70.7,2,17,1.0,"ул. Автозаводская, вл. 23/75",,,,,,,,,,,,,,,,
1730000.0,3,58.7,2,9,1.0,"ул. Мнёвники,  12",,,,,,,,,,,,,,,,
15313987.0,3,141.2,2,13,1.0,"ул. Братьев Фонченко, стр. 1",,,,,,,,,,,,,,,,
1330000.0,3,61.1,8,9,1.0,"ул. Сталеваров, 4к4",,,,,,,,,,,,,,,,
2536020.0,1,38.6,13,34,1.0,"3-й Сетуньский проезд, з/у 10",,,,,,,,,,,,,,,,
3803328.0,3,63.9,24,32,1.0,"ул. Дербеневская, вл. 20",,,,,,,,,,,,,,,,
6117954.0,4,98.9,31,32,1.0,"ул. Дербеневская, вл. 20",,,,,,,,,,,,,,,,
2679607.0,2,71.1,2,12,1.0,"ул. Автозаводская, вл. 23/75",,,,,,,,,,,,,,,,
3031844.0,2,77.7,4,14,1.0,"ул. Автозаводская, вл. 23/75",,,,,,,,,,,,,,,,
2050304.0,3,69.6,8,44,1.0,"проезд Строительный, стр. 9/9",,,,,,,,,,,,,,,,
3062600.0,2,60.5,3,22,1.0,"ул. Полковая, вл. 1",,,,,,,,,,,,,,,,
720000.0,1,30.3,3,6,0.0,"Варшавское ш.,  125с15",,,,,,,,,,,,,,,,
1328818.0,2,46.3,6,16,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1",,,,,,,,,,,,,,,,
2231873.0,2,41.0,4,14,1.0,"ул. Верейская, стр. 2",,,,,,,,,,,,,,,,
3802761.0,4,110.9,46,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
490000.0,1,25.9,8,14,0.0,"Балтийская ул.,  15",,,,,,,,,,,,,,,,
1755225.0,2,43.5,5,28,1.0,"2-й Силикатный проезд, вл. 8",,,,,,,,,,,,,,,,
3989375.0,1,50.7,11,85,1.0,"Краснопресненская набережная, вл. 14/15",,,,,,,,,,,,,,,,
1552500.0,2,40.0,14,32,1.0,"Кавказский б-р, д. 51",,,,,,,,,,,,,,,,
1050000.0,2,45.0,4,9,1.0,"Каширское ш.,  92к3",,,,,,,,,,,,,,,,
790709.0,1,21.4,3,16,0.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1",,,,,,,,,,,,,,,,
800000.0,1,41.0,1,9,1.0,"пос. Поведники, 13",,,,,,,,,,,,,,,,
7446599.0,3,102.4,24,36,1.0,"пр-т Ленинградский, вл. 8",,,,,,,,,,,,,,,,
339000.0,1,28.0,2,3,0.0,"пос. ДСК Мичуринец, ул. Энгельса,  37",,,,,,,,,,,,,,,,
2025178.0,1,42.2,8,40,1.0,"ул. Большая Тульская, д. 10",,,,,,,,,,,,,,,,
7446599.0,3,102.4,24,36,1.0,"пр-т Ленинградский, вл. 8",,,,,,,,,,,,,,,,
1530000.0,2,55.0,11,24,1.0,"ул. Академика Скрябина,  6",,,,,,,,,,,,,,,,
871220.0,1,29.5,2,16,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1",,,,,,,,,,,,,,,,
3507746.0,2,56.8,15,22,1.0,"ул. Полковая, вл. 1",,,,,,,,,,,,,,,,
1255000.0,2,46.7,3,9,1.0,"Дубнинская ул.,  20к1",,,,,,,,,,,,,,,,
2071030.0,1,44.5,5,30,1.0,"4-й Красногорский пр-д, корп. 2.1",,,,,,,,,,,,,,,,
2156815.0,2,57.0,22,32,1.0,"Кавказский б-р, д. 51",,,,,,,,,,,,,,,,
4537273.0,1,48.1,19,19,1.0,"ш. Волоколамское, стр. 13",,,,,,,,,,,,,,,,
3099900.0,3,92.0,2,8,1.0,"Новопесчаная ул., 26",,,,,,,,,,,,,,,,
994381.0,1,30.0,18,21,1.0,"пр-д Автомобильный, вл. 4",,,,,,,,,,,,,,,,
980000.0,1,38.0,17,17,1.0,"ул. Авиаторов,  30",,,,,,,,,,,,,,,,
1173964.0,1,24.0,15,32,0.0,"Кавказский б-р, д. 51",,,,,,,,,,,,,,,,
2319492.0,2,55.7,4,12,1.0,"ул. Ивана Франко, корп. 4.2",,,,,,,,,,,,,,,,
2200000.0,3,84.9,2,7,1.0,"Шарикоподшипниковская ул.,  6/14",,,,,,,,,,,,,,,,
1920577.0,1,37.3,8,40,1.0,"ул. Большая Тульская, д. 10",,,,,,,,,,,,,,,,
320000.0,1,18.0,3,3,0.0,"Варшавское ш.,  125с1",,,,,,,,,,,,,,,,
1211496.0,2,44.0,9,21,1.0,"пр-д Автомобильный, вл. 4",,,,,,,,,,,,,,,,
1180000.0,2,47.0,3,9,1.0,"Отрадная ул.,  11",,,,,,,,,,,,,,,,
1629747.0,2,54.0,11,21,1.0,"пр-д Автомобильный, вл. 4",,,,,,,,,,,,,,,,
2738319.0,2,50.1,2,11,1.0,"ул. Верейская, стр. 1",,,,,,,,,,,,,,,,
2023296.0,1,47.9,10,34,1.0,"Ленинградское ш., стр. 7.1",,,,,,,,,,,,,,,,
4020588.0,3,92.3,26,34,1.0,"Ленинградское ш., стр. 7.1",,,,,,,,,,,,,,,,
1675060.0,2,56.4,39,45,1.0,"ш. Перовское, д. 21, корп. 1",,,,,,,,,,,,,,,,
2606013.0,2,67.6,42,48,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
4600892.0,1,54.4,36,85,1.0,"Краснопресненская набережная, вл. 14/15",,,,,,,,,,,,,,,,
1610000.0,1,40.3,3,27,1.0,"ул. Крузенштерна, 12к3",,,,,,,,,,,,,,,,
3937587.0,4,109.5,22,30,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
1570000.0,1,34.2,25,33,1.0,"2-й Нагатинский пр.,  2/2к2",,,,,,,,,,,,,,,,
2806245.0,1,34.4,26,36,0.0,"пр-т Ленинградский, вл. 8",,,,,,,,,,,,,,,,
1270000.0,3,55.9,3,9,1.0,"Снайперская ул.,  12",,,,,,,,,,,,,,,,
2486745.0,2,75.7,2,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
1499999.0,2,51.0,1,9,1.0,"Нежинская ул.,  13",,,,,,,,,,,,,,,,
4564448.0,3,99.4,37,40,1.0,"1-й Красногорский пр-д, корп. 2.3",,,,,,,,,,,,,,,,
1999000.0,2,57.1,2,9,1.0,"6-я Кожуховская ул., 21",,,,,,,,,,,,,,,,
2088940.0,2,57.1,34,48,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
1290000.0,2,73.0,6,22,1.0,"рп. Бутово, жилой комплекс Бутово Парк, 23к2",,,,,,,,,,,,,,,,
1564542.0,1,34.9,24,48,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
1135000.0,1,38.2,15,17,1.0,"Городецкая ул.,  8к1",,,,,,,,,,,,,,,,
6662856.0,2,59.8,2,10,1.0,"ул. Братьев Фонченко, стр. 8",,,,,,,,,,,,,,,,
770325.0,1,26.0,8,21,0.0,"пр-д Автомобильный, вл. 4",,,,,,,,,,,,,,,,
1330000.0,3,54.7,4,9,1.0,"ул. Головачёва,  13",,,,,,,,,,,,,,,,
1850000.0,3,76.0,14,22,1.0,"Алтуфьевское ш.,  78",,,,,,,,,,,,,,,,
3027027.0,3,82.1,25,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
443520.0,1,15.4,3,5,0.0,"14-я Парковая ул.,  8",,,,,,,,,,,,,,,,
2305333.0,2,55.5,3,12,1.0,"ул. Ивана Франко, корп. 4.2",,,,,,,,,,,,,,,,
1300000.0,1,29.0,4,5,1.0,"ул. Ватутина,  4к1",,,,,,,,,,,,,,,,
2400000.0,2,63.7,6,27,1.0,"Озёрная ул.,  9",,,,,,,,,,,,,,,,
3923244.0,4,107.9,15,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
1960000.0,3,76.6,5,5,1.0,"Бойцовая ул.,  24к2",,,,,,,,,,,,,,,,
1290000.0,2,38.5,12,12,1.0,"Одесская ул.,  18к1",,,,,,,,,,,,,,,,
79727319.0,6,414.7,11,13,1.0,"ул. Братьев Фонченко, стр. 2",,,,,,,,,,,,,,,,
1925000.0,3,85.0,7,10,1.0,"Оренбургская ул.,  3",,,,,,,,,,,,,,,,
1750520.0,1,42.8,4,27,1.0,"ул. Берзарина, д. 32",,,,,,,,,,,,,,,,
1170000.0,2,35.9,5,9,1.0,"Дмитровское ш.,  19к2",,,,,,,,,,,,,,,,
2394100.0,2,53.8,54,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
609912.0,1,42.0,17,25,1.0,"рп. Дрожжино, Южная ул.,  15к1",,,,,,,,,,,,,,,,
1799000.0,1,45.0,23,26,1.0,"Авиационная ул.,  63",,,,,,,,,,,,,,,,
1861440.0,2,48.0,11,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
1480000.0,3,64.7,6,16,1.0,"Шоссейная ул.,  31к2",,,,,,,,,,,,,,,,
1294022.0,2,46.0,2,21,1.0,"пр-д Автомобильный, вл. 4",,,,,,,,,,,,,,,,
3296890.0,3,87.8,11,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
1922782.0,1,34.3,12,13,0.0,"Подольское ш., вл. 3",,,,,,,,,,,,,,,,
3381168.0,3,69.4,14,25,1.0,"ул. Академика Челомея, д. 1А",,,,,,,,,,,,,,,,
483400.0,1,14.3,3,8,0.0,"Нижегородская ул.,  32с15А",,,,,,,,,,,,,,,,
1602817.0,1,35.5,29,48,1.0,"ул. Вишнёвая, д. 7",,,,,,,,,,,,,,,,
1200000.0,2,58.4,5,9,1.0,"Карельский б-р,  2к2",,,,,,,,,,,,,,,,
16794547.0,5,226.1,58,85,1.0,"Краснопресненская набережная, вл. 14/15",,,,,,,,,,,,,,,,
1860000.0,3,70.8,7,12,1.0,"Щербаковская ул.,  32/7",,,,,,,,,,,,,,,,
1997170.0,1,47.5,9,30,1.0,"ул. Ивана Франко, корп. 5",,,,,,,,,,,,,,,,
1310000.0,2,38.2,8,12,1.0,"пр-т Мира,  200к2",,,,,,,,,,,,,,,,
2748577.0,2,63.8,4,49,1.0,"ул. 2-я Хуторская, вл. 34",,,,,,,,,,,,,,,,
1620000.0,2,76.9,9,18,1.0,"Берёзовая аллея,  19к1",,,,,,,,,,,,,,,,
2416158.0,2,53.8,29,59,1.0,"ул. Верейская, д. 29",,,,,,,,,,,,,,,,
999900.0,1,31.0,5,8,1.0,"Звёздный б-р,  42к1",,,,,,,,,,,,,,,,
1491922.0,1,31.0,22,30,1.0,"ул. Ивана Франко, корп. 5",,,,,,,,,,,,,,,,
2170000.0,3,74.8,3,16,1.0,"Белореченская ул., 28к1",,,,,,,,,,,,,,,,
3323200.0,3,67.0,29,31,1.0,"ул. Ботаническая, д. 29А, корп. 2",,,,,,,,,,,,,,,,
999000.0,1,35.1,6,14,1.0,"ул. Коминтерна,  26к2",,,,,,,,,,,,,,,,
1060000.0,2,45.1,9,9,1.0,"аллея Жемчуговой,  5к1",,,,,,,,,,,,,,,,
1574540.0,3,64.1,3,16,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1",,,,,,,,,,,,,,,,
2450000.0,3,79.9,1,17,1.0,"ул. Кутузова, 8",,,,,,,,,,,,,,,,
2180680.0,2,40.3,9,28,1.0,"ул. Дубининская, стр. 1",,,,,,,,,,,,,,,,
4342404.0,2,98.2,50,57,1.0,"Ленинградское ш., стр. 7.3",,,,,,,,,,,,,,,,
1980000.0,1,47.2,12,16,1.0,"Бутырская ул.,  15",,,,,,,,,,,,,,,,
