price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel
10000000.0,3.0,134.7,14.0,18.0,1.0,"пр-т Вернадского,  97к3","37.490245,55.667122",,,,,,,,,,,,,,,
1443620.0,2.0,38.0,2.0,15.0,1.0,"ул. Михалковская, вл.48","37.515874,55.839486",,,,,,,,,,,,,,,
4485374.0,4.0,112.2,15.0,56.0,1.0,"ул. Минская, стр. 1","37.498698,55.710849",,,,,,,,,,,,,,,
1595000.0,2.0,60.0,13.0,22.0,1.0,"пр. Донелайтиса,  20","37.420365,55.842064",,,,,,,,,,,,,,,
23458301.0,4.0,148.9,3.0,13.0,1.0,"ул. Братьев Фонченко, стр. 4","37.513772,55.730918",,,,,,,,,,,,,,,
1070502.0,1.0,35.0,7.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
3135926.0,1.0,45.8,5.0,8.0,1.0,"ул. Часовая, стр. 1.1","37.535296,55.806783",,,,,,,,,,,,,,,
1975754.0,1.0,34.1,17.0,40.0,0.0,"ул. Большая Тульская, д. 10","37.618794,55.707755",,,,,,,,,,,,,,,
2759626.0,1.0,44.3,5.0,33.0,1.0,"ул. Пресненский Вал, стр. 4.2","37.564410,55.763918",,,,,,,,,,,,,,,
1211496.0,2.0,44.0,9.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
4564448.0,3.0,99.4,37.0,40.0,1.0,"1-й Красногорский пр-д, корп. 2.3","37.486607,55.811993",,,,,,,,,,,,,,,
1863305.0,1.0,48.7,12.0,30.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
5043221.0,3.0,90.1,8.0,47.0,1.0,"ул. Летниковская, стр. 4","37.644333,55.727699",,,,,,,,,,,,,,,
2271226.0,2.0,56.9,28.0,30.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
3211350.0,3.0,81.3,10.0,28.0,1.0,"2-й Силикатный проезд, вл. 8","37.923763,55.935450",,,,,,,,,,,,,,,
2260224.0,2.0,57.6,2.0,59.0,1.0,"ул. Верейская, д. 29","37.436292,55.711032",,,,,,,,,,,,,,,
3803328.0,3.0,63.9,24.0,32.0,1.0,"ул. Дербеневская, вл. 20","37.647720,55.721138",,,,,,,,,,,,,,,
3381168.0,3.0,69.4,14.0,25.0,1.0,"ул. Академика Челомея, д. 1А","37.537515,55.663172",,,,,,,,,,,,,,,
1535939.0,1.0,34.1,17.0,48.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
2773088.0,2.0,60.8,12.0,40.0,1.0,"1-й Красногорский пр-д, корп. 2.3","37.486607,55.811993",,,,,,,,,,,,,,,
2360358.0,1.0,46.2,9.0,27.0,1.0,"пр-д Невельского/ш. Энтузиастов/ул. Золоторожский Вал, жилые дома","37.852805,55.779226",,,,,,,,,,,,,,,
1083940.0,2.0,37.9,7.0,36.0,1.0,"пр-т Мира, д. 222/2 корп. 2","37.667932,55.843257",,,,,,,,,,,,,,,
16077801.0,2.0,117.6,12.0,13.0,1.0,"ул. Братьев Фонченко, стр. 5","37.512425,55.729513",,,,,,,,,,,,,,,
1997170.0,1.0,47.5,9.0,30.0,1.0,"ул. Ивана Франко, корп. 5","37.453118,55.728018",,,,,,,,,,,,,,,
2416158.0,2.0,53.8,29.0,59.0,1.0,"ул. Верейская, д. 29","37.436292,55.711032",,,,,,,,,,,,,,,
6409260.0,3.0,103.0,4.0,16.0,1.0,"ул. Автозаводская, корп. 1, вл. 24","37.436292,55.711032",,,,,,,,,,,,,,,
4804111.0,2.0,85.3,2.0,13.0,1.0,"ВМО Кунцево у д. Захарково, кв-л 20, корп. 1","37.328324,55.777170",,,,,,,,,,,,,,,
7022362.0,4.0,125.4,8.0,47.0,1.0,"ул. Летниковская, стр. 4","37.644333,55.727699",,,,,,,,,,,,,,,
1603555.0,1.0,36.9,15.0,30.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
3841200.0,3.0,79.2,14.0,25.0,1.0,"ул. Часовая, стр. 1.1","37.445832,55.830210",,,,,,,,,,,,,,,
4600892.0,1.0,54.4,36.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.445832,55.830210",,,,,,,,,,,,,,,
1993984.0,2.0,47.0,27.0,32.0,1.0,"Кавказский б-р, д. 51","37.445832,55.830210",,,,,,,,,,,,,,,
3903500.0,4.0,105.5,7.0,25.0,1.0,"ул. Маргелова, д. 3, корп. 4","37.541781,55.777510",,,,,,,,,,,,,,,
2486745.0,2.0,75.7,2.0,59.0,1.0,"ул. Верейская, д. 29","37.541781,55.777510",,,,,,,,,,,,,,,
4332040.0,1.0,53.3,14.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.545303,55.751974",,,,,,,,,,,,,,,
3062600.0,2.0,60.5,3.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
5699560.0,3.0,89.0,3.0,8.0,1.0,"ул. Часовая, стр. 1.1","37.599983,55.797817",,,,,,,,,,,,,,,
5628150.0,3.0,113.7,7.0,11.0,1.0,"корп. В14, д. 3",an,,,,,,,,,,,,,,,
1491922.0,1.0,31.0,22.0,30.0,1.0,"ул. Ивана Франко, корп. 5","37.453118,55.728018",,,,,,,,,,,,,,,
2940132.0,1.0,56.4,10.0,13.0,1.0,"ш. Волоколамское, стр. 13","37.495725,55.808078",,,,,,,,,,,,,,,
1891597.0,3.0,49.0,29.0,32.0,1.0,"Кавказский б-р, д. 51","37.644073,55.627829",,,,,,,,,,,,,,,
2569809.0,1.0,47.3,34.0,50.0,1.0,"ул. Лобачевского/платформа «Матвеевская», кв-л 4.2","37.644073,55.627829",,,,,,,,,,,,,,,
1755225.0,2.0,43.5,5.0,28.0,1.0,"2-й Силикатный проезд, вл. 8","37.506136,55.769119",,,,,,,,,,,,,,,
1316315.0,1.0,26.3,15.0,21.0,0.0,"ул. Берзарина, д. 32","37.470177,55.790782",,,,,,,,,,,,,,,
807327.0,1.0,24.0,15.0,21.0,0.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
1886991.0,1.0,46.9,2.0,12.0,1.0,"ул. Автозаводская, вл. 23/75","37.632763,55.697894",,,,,,,,,,,,,,,
2790764.0,2.0,64.6,6.0,49.0,1.0,"ул. 2-я Хуторская, вл. 34","37.571076,55.806110",,,,,,,,,,,,,,,
1149800.0,2.0,51.8,12.0,14.0,1.0,"п. Десеновское, квартал № 61., корп. 6","37.386490,55.524085",,,,,,,,,,,,,,,
1968008.0,2.0,45.2,1.0,7.0,1.0,"корп. В17, д. 3",an,,,,,,,,,,,,,,,
3474672.0,2.0,76.4,27.0,40.0,1.0,"ул. Большая Тульская, д. 10","37.618794,55.707755",,,,,,,,,,,,,,,
3715632.0,3.0,97.6,44.0,59.0,1.0,"ул. Верейская, д. 29","37.436292,55.711032",,,,,,,,,,,,,,,
1625000.0,2.0,45.0,4.0,9.0,1.0,"ул. Академика Волгина,  13","37.518057,55.650637",,,,,,,,,,,,,,,
1933032.0,2.0,47.8,21.0,59.0,1.0,"ул. Верейская, д. 29","37.436292,55.711032",,,,,,,,,,,,,,,
5100102.0,3.0,107.1,3.0,11.0,1.0,"корп. В14, д. 3",an,,,,,,,,,,,,,,,
2450000.0,3.0,76.8,18.0,22.0,1.0,"Мичуринский пр-т,  17","37.510116,55.695854",,,,,,,,,,,,,,,
2023296.0,1.0,47.9,10.0,34.0,1.0,"Ленинградское ш., стр. 7.1","37.498833,55.815605",,,,,,,,,,,,,,,
2153494.0,2.0,55.8,3.0,12.0,1.0,"ул. Ивана Франко, корп. 4.2","37.454375,55.728170",,,,,,,,,,,,,,,
770325.0,1.0,26.0,8.0,21.0,0.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
3589553.0,3.0,72.1,2.0,11.0,1.0,"ул. Верейская, стр. 1","37.445509,55.712289",,,,,,,,,,,,,,,
16794547.0,5.0,226.1,58.0,85.0,1.0,"Краснопресненская набережная, вл. 14/15","37.545303,55.751974",,,,,,,,,,,,,,,
2455723.0,4.0,88.5,13.0,16.0,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 1","37.685269,56.207233",,,,,,,,,,,,,,,
1775062.0,3.0,64.2,13.0,16.0,1.0,"5-я ул. Лесные Поляны, з/у 20А, стр. 2","37.685269,56.207233",,,,,,,,,,,,,,,
1123020.0,1.0,36.7,25.0,36.0,1.0,"пр-т Мира, д. 222/2 корп. 4","37.667932,55.843257",,,,,,,,,,,,,,,
2578759.0,2.0,64.7,6.0,20.0,1.0,"ул. Автозаводская, стр. 1","37.665192,55.710281",,,,,,,,,,,,,,,
1934592.0,1.0,45.8,18.0,59.0,1.0,"ул. Верейская, д. 29","37.436292,55.711032",,,,,,,,,,,,,,,
1829661.0,3.0,49.0,15.0,32.0,1.0,"Кавказский б-р, д. 51","37.644073,55.627829",,,,,,,,,,,,,,,
2051127.0,1.0,37.3,5.0,29.0,1.0,"ул. Часовая, стр. 1.1","37.535296,55.806783",,,,,,,,,,,,,,,
1294022.0,2.0,46.0,2.0,21.0,1.0,"пр-д Автомобильный, вл. 4","37.697576,55.730193",,,,,,,,,,,,,,,
3196012.0,1.0,42.2,13.0,36.0,1.0,"пр-т Ленинградский, вл. 8","37.580939,55.780335",,,,,,,,,,,,,,,
1717038.0,1.0,31.2,9.0,22.0,1.0,"ул. Полковая, вл. 1","37.599983,55.797817",,,,,,,,,,,,,,,
3521799.0,2.0,49.3,3.0,26.0,1.0,"ул. Летниковская, стр. 5","37.645303,55.727658",,,,,,,,,,,,,,,
3660540.0,2.0,74.1,29.0,49.0,1.0,"ул. Лобачевского/платформа «Матвеевская», кв-л 4.1","37.506783,55.664172",,,,,,,,,,,,,,,
1568158.0,1.0,34.9,26.0,48.0,1.0,"ул. Вишнёвая, д. 7","37.445832,55.830210",,,,,,,,,,,,,,,
1625000.0,2.0,45.0,4.0,9.0,1.0,"ул. Академика Волгина,  13","37.518057,55.650637",,,,,,,,,,,,,,,
3569000.0,4.0,94.0,15.0,30.0,1.0,"ул. Озёрная, вл. 42","37.518057,55.650637",,,,,,,,,,,,,,,
