price,rooms,square,floor,totalFloors,flat/studio,address,coordinate,distanceFromTheCenter,metro,cafe,park,beaches,hospital,police,shop,beautySalone,mall,museum,pharmacy,sportCenter,postOffice,hotel,college,school,kindergarten
953300.0,2.0,31.4,12.0,18.0,1.0,"ул. Вертолётчиков,  4к5","37.945179,55.703479",21390.0,1.0,6.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,6.0,4.0,3.0,2.0,0.0,3.0,6.0
920000.0,1.0,38.8,3.0,14.0,1.0,"ул. Плещеева,  14А","37.612542,55.885221",14410.0,1.0,6.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,5.0,2.0,4.0,2.0,6.0,6.0
5721930.0,3.0,77.1,3.0,6.0,1.0,"ул. Малая Ордынка,  19","37.625963,55.736939",2170.0,5.0,6.0,3.0,0.0,3.0,5.0,0.0,5.0,0.0,5.0,6.0,6.0,7.0,9.0,6.0,6.0,6.0
1280000.0,1.0,41.0,5.0,14.0,1.0,"Мячковский б-р,  27","37.763638,55.650282",14910.0,2.0,6.0,2.0,0.0,4.0,3.0,0.0,1.0,3.0,0.0,8.0,6.0,5.0,5.0,0.0,4.0,6.0
455000.0,1.0,14.5,1.0,9.0,0.0,"Родниковая ул.,  18","37.619971,55.716336",19880.0,1.0,6.0,1.0,0.0,2.0,6.0,0.0,3.0,2.0,0.0,6.0,6.0,5.0,5.0,2.0,5.0,5.0
2360000.0,2.0,60.0,11.0,25.0,1.0,"Аминьевское ш.,  4Дк1","37.466494,55.699994",11360.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,4.0,3.0,1.0,1.0,5.0,6.0
1020000.0,1.0,37.6,9.0,17.0,1.0,"Ангелов пер., 13","37.343937,55.852122",20240.0,2.0,6.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,0.0,6.0,7.0,4.0,4.0,1.0,6.0,6.0
2153494.0,2.0,55.8,3.0,12.0,1.0,"ул. Ивана Франко, корп. 4.2","37.454375,55.728170",10850.0,6.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,6.0,6.0,5.0,4.0,1.0,5.0,6.0
1316315.0,1.0,26.3,15.0,21.0,0.0,"ул. Берзарина, д. 32","37.470177,55.790782",10040.0,1.0,6.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,6.0,5.0,4.0,2.0,3.0,5.0,6.0
1330000.0,2.0,44.0,5.0,9.0,1.0,"5-я Кожуховская ул.,  22к1","37.676619,55.704778",6790.0,4.0,6.0,3.0,1.0,1.0,5.0,0.0,1.0,3.0,0.0,8.0,6.0,5.0,5.0,3.0,6.0,6.0
